0,0
0.168,0.13735
0.336,0.27319
0.504,0.40236
0.672,0.51992
0.84,0.62127
1.008,0.70222
1.176,0.7591
1.344,0.78883
1.512,0.789
1.68,0.7579
1.848,0.69456
2.016,0.5988
2.184,0.47118
2.352,0.31304
2.52,0.12645
2.688,-0.08584
2.856,-0.32045
3.024,-0.57345
3.192,-0.84044
3.36,-1.1166
3.528,-1.3969
3.696,-1.6761
3.864,-1.949
4.032,-2.2102
4.2,-2.4548
4.368,-2.6779
4.536,-2.8751
4.704,-3.0425
4.872,-3.1767
5.04,-3.275
5.208,-3.3352
5.376,-3.356
5.544,-3.3369
5.712,-3.2781
5.88,-3.1804
6.048,-3.0456
6.216,-2.8761
6.384,-2.675
6.552,-2.446
6.72,-2.1931
6.888,-1.921
7.056,-1.6348
7.224,-1.3394
7.392,-1.0402
7.56,-0.74246
7.728,-0.45134
7.896,-0.17178
8.064,0.091603
8.232,0.33463
8.4,0.55362
8.568,0.74549
8.736,0.90781
8.904,1.0389
9.072,1.1377
9.24,1.2041
9.408,1.2387
9.576,1.2427
9.744,1.2182
9.912,1.168
